Variable:,wsdi
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1970,11.94,,,,,,,,,,,,,
1971,1.05,,,,,,,,,,,,,
1972,0.48,,,,,,,,,,,,,
1973,3.06,,,,,,,,,,,,,
1974,1.22,,,,,,,,,,,,,
1975,0.45,,,,,,,,,,,,,
1976,0.11,,,,,,,,,,,,,
1977,4.43,,,,,,,,,,,,,
1978,1.48,,,,,,,,,,,,,
1979,1.41,,,,,,,,,,,,,
1980,0.32,,,,,,,,,,,,,
1981,2.60,,,,,,,,,,,,,
1982,0.52,,,,,,,,,,,,,
1983,1.64,,,,,,,,,,,,,
1984,6.84,,,,,,,,,,,,,
1985,2.44,,,,,,,,,,,,,
1986,4.70,,,,,,,,,,,,,
1987,10.80,,,,,,,,,,,,,
1988,3.86,,,,,,,,,,,,,
1989,5.21,,,,,,,,,,,,,
1990,4.88,,,,,,,,,,,,,
1991,4.15,,,,,,,,,,,,,
1992,2.84,,,,,,,,,,,,,
1993,10.04,,,,,,,,,,,,,
1994,20.58,,,,,,,,,,,,,
1995,0.00,,,,,,,,,,,,,
1996,0.00,,,,,,,,,,,,,
1997,0.24,,,,,,,,,,,,,
1998,5.18,,,,,,,,,,,,,
1999,4.42,,,,,,,,,,,,,
2000,11.91,,,,,,,,,,,,,
2001,19.93,,,,,,,,,,,,,
2002,8.00,,,,,,,,,,,,,
2003,12.48,,,,,,,,,,,,,
2004,11.94,,,,,,,,,,,,,
2005,0.44,,,,,,,,,,,,,
2006,1.25,,,,,,,,,,,,,
2007,17.44,,,,,,,,,,,,,
2008,19.36,,,,,,,,,,,,,
2009,13.98,,,,,,,,,,,,,
2010,21.35,,,,,,,,,,,,,
2011,13.01,,,,,,,,,,,,,
2012,34.75,,,,,,,,,,,,,
2013,9.69,,,,,,,,,,,,,
2014,7.77,,,,,,,,,,,,,
2015,30.71,,,,,,,,,,,,,
2016,12.32,,,,,,,,,,,,,
2017,21.16,,,,,,,,,,,,,
2018,15.42,,,,,,,,,,,,,
2019,41.63,,,,,,,,,,,,,
2020,28.42,,,,,,,,,,,,,
